Alpine, Calvin Coolidge, Republican, 88.14
Orange, Calvin Coolidge, Republican, 67.35
Ventura, Calvin Coolidge, Republican, 65.16
Santa Barbara, Calvin Coolidge, Republican, 64.69
Los Angeles, Calvin Coolidge, Republican, 65.51
Riverside, Calvin Coolidge, Republican, 61.99
Monterey, Calvin Coolidge, Republican, 61.07
Santa Cruz, Calvin Coolidge, Republican, 60.84
Alameda, Calvin Coolidge, Republican, 61.48
Mendocino, Calvin Coolidge, Republican, 56.46
Stanislaus, Calvin Coolidge, Republican, 56.86
San Bernardino, Calvin Coolidge, Republican, 56.93
Santa Clara, Calvin Coolidge, Republican, 58.02
Sonoma, Calvin Coolidge, Republican, 56
Humboldt, Calvin Coolidge, Republican, 56.82
Mono, Calvin Coolidge, Republican, 53.55
San Benito, Calvin Coolidge, Republican, 53.54
Kings, Calvin Coolidge, Republican, 50
Tulare, Calvin Coolidge, Republican, 50.79
Napa, Calvin Coolidge, Republican, 54.82
Del Norte, Calvin Coolidge, Republican, 52.63
Merced, Calvin Coolidge, Republican, 52.94
Contra Costa, Calvin Coolidge, Republican, 54.67
San Mateo, Calvin Coolidge, Republican, 55.27
Marin, Calvin Coolidge, Republican, 53.52
Imperial, Calvin Coolidge, Republican, 50.28
Sutter, Calvin Coolidge, Republican, 49.92
Modoc, Calvin Coolidge, Republican, 43.72
Kern, Calvin Coolidge, Republican, 46.08
San Joaquin, Calvin Coolidge, Republican, 48.91
San Luis Obispo, Calvin Coolidge, Republican, 49.01
Colusa, Calvin Coolidge, Republican, 43.84
Inyo, Calvin Coolidge, Republican, 47.52
Lake, Calvin Coolidge, Republican, 44.94
Yuba, Calvin Coolidge, Republican, 45.88
Yolo, Calvin Coolidge, Republican, 45.35
Solano, Calvin Coolidge, Republican, 48
Tehama, Calvin Coolidge, Republican, 45.97
San Diego, Calvin Coolidge, Republican, 48.99
Glenn, Calvin Coolidge, Republican, 44.84
San Francisco, Calvin Coolidge, Republican, 47.75
Fresno, Calvin Coolidge, Republican, 44.01
Mariposa, Calvin Coolidge, Republican, 40.23
Madera, Calvin Coolidge, Republican, 42.66
Tuolumne, Robert M La Follette, Progressive, 44.37
Butte, Robert M La Follette, Progressive, 44.18
Shasta, Robert M La Follette, Progressive, 44.06
Lassen, Robert M La Follette, Progressive, 44.28
Amador, Robert M La Follette, Progressive, 42.61
Calaveras, Robert M La Follette, Progressive, 44.1
Nevada, Robert M La Follette, Progressive, 46.94
Siskiyou, Robert M La Follette, Progressive, 47.36
Trinity, Robert M La Follette, Progressive, 44.95
Sacramento, Robert M La Follette, Progressive, 50.8
Sierra, Robert M La Follette, Progressive, 49.37
Placer, Robert M La Follette, Progressive, 54.98
Plumas, Robert M La Follette, Progressive, 55.81
El Dorado, Robert M La Follette, Progressive, 58.48
